;;"SIGLA";"vnum";"repertorio_n";"rubrica_1";"incipit_ms";"inizio";"fine"
"";"Scheda";"p_°I_0775";"0705";"BEdT 335,048";"1";"Razons es quieu mesbaudei.";" ";" "
"";"Scheda";"p_°I_0776";"0706";"BEdT 335,030";"1";"Las amairitz qi encolpar las vol.";" ";" "
"";"Scheda";"p_°I_0777";"0707";"BEdT 335,031";"1";"Li clerc si fan pastor";" ";" "
"";"Scheda";"p_°I_0778";"0708";"BEdT 335,050";"1";"Sieu fos amaz ho ames";" ";" "
"";"Scheda";"p_°I_0779";"0709";"BEdT 335,029";"1";"Larcivesques de Narbona";" ";" "
"";"Scheda";"p_°I_0780";"0710";"BEdT 335,041";"1";"Pos ma boca parla sens";" ";" "
"";"Scheda";"p_°I_0781";"0711";"BEdT 335,040";"1";"Pel fols tenos Poilles e Lonbartz";" ";" "
"";"Scheda";"p_°I_0782";"0712";"BEdT 335,015";"1";"De quatre caps que a la cros";" ";" "
"";"Scheda";"p_°I_0783";"0713";"BEdT 335,047";"1";"Qui volra sirventes auzir";" ";" "
"";"Scheda";"p_°I_0784";"0714";"BEdT 335,012";"1";"Ben volgra si Dieus volgues";" ";" "
"";"Scheda";"p_°I_0785";"0715";"BEdT 335,002";"1";"Aissi com hom plaing so(n) filh o so(n) paire";" ";" "
"";"Scheda";"p_°I_0786";"0716";"BEdT 335,010";"1";"Bel mes queu bastis";" ";" "
"";"Scheda";"p_°I_0787";"0717";"BEdT 335,061";"1";"A tot farai una demanda";" ";" "
"";"Scheda";"p_°I_0788";"0718";"BEdT 335,026";"1";"Ges nom son de maldir castiaz";" ";" "
"";"Scheda";"p_°I_0789";"0719";"BEdT 335,028";"1";"Lafar del comte guio";" ";" "
"";"Scheda";"p_°I_0790";"0720";"BEdT 335,043";"1";"Cals aventura es aisso daquest mon";" ";" "
"";"Scheda";"p_°I_0791";"0721";"BEdT 335,052";"1";"Tals cuidan aver filh de sa sposa";" ";" "
"";"Scheda";"p_°I_0792";"0722";"BEdT 335,063";"1";"Un decret fas dreithurier";" ";" "
"";"Scheda";"p_°I_0793";"0723";"BEdT 335,069";"1";"Un sirventes voill far dels autz glotos";" ";" "
"";"Scheda";"p_°I_0794";"0724";"BEdT 335,032";"1";"Lo iors que hieu fui natz";" ";" "
"";"Scheda";"p_°I_0795";"0725";"BEdT 335,024";"1";"Hieu trazi peitz q)ue) sa portava cheira";" ";" "
"";"Scheda";"p_°I_0796";"0726";"BEdT 335,054";"1";"Tant vei lo segle cobeitatz";" ";" "
"";"Scheda";"p_°I_0797";"0727";"BEdT 335,067";"1";"Un sirventes novel voill com(en)sar";" ";" "
"";"Scheda";"p_°I_0798";"0728";"BEdT 335,065";"1";"Un sirve(n)tes ai en cor qe comes";" ";" "
"";"Scheda";"p_°I_0799";"0729";"BEdT 335,055";"1";"Tartarasa ni voutor";" ";" "
"";"Scheda";"p_°I_0800";"0730";"BEdT 335,034";"1";"Lo saber dest seigle foudatz";" ";" "
"";"Scheda";"p_°I_0801";"0731";"BEdT 335,060";"1";"Tot enaissi con fortuna de ven";" ";" "
"";"Scheda";"p_°I_0802";"0732";"BEdT 335,039";"1";"No(n) es cortes ni los pretz agradius";" ";" "
"";"Scheda";"p_°I_0803";"0733";"BEdT 335,025";"1";"Falsedatz desmezura";" ";" "
"";"Scheda";"p_°I_0804";"0734";"BEdT 335,053";"1";"Seigner netble vostre veszi.";" ";" "
"";"Scheda";"p_°I_0805";"0735";"BEdT 335,044";"1";"Qui se vol de tal fas cargar";" ";" "
"";"Scheda";"p_°I_0806";"0736";"BEdT 335,006";"1";"Aqesta gens tant son en lor gaiesza";" ";" "
"";"Scheda";"p_°I_0807";"0737";"BEdT 335,007";"1";"Ar me puesc hieu lausar damor";" ";" "
"";"Scheda";"p_°I_0808";"0738";"BEdT 335,058";"1";"Tostemps vir cuidar en saber";" ";" "
"";"Scheda";"p_°I_0809";"0739";"BEdT 335,013";"1";"Caritat es en tan bel estamen";" ";" "
"";"Scheda";"p_°I_0810";"0740";"BEdT 335,009";"1";"Atressi com per fargar";" ";" "
"";"Scheda";"p_°I_0811";"0741";"BEdT 335,045";"1";"Qui ve gra(n)t malesza faire";" ";" "
"";"Scheda";"p_°I_0812";"0742";"BEdT 335,049";"1";"Rics hom que grieu di vertat";" ";" "
"";"Scheda";"p_°I_0813";"0743";"BEdT 335,018";"1";"De sirve(n)tes sueill servir";" ";" "
"";"Scheda";"p_°I_0814";"0744";"BEdT 335,066";"1";"Un sirve(n)tes fauc en luec de iurar";" ";" "
"";"Scheda";"p_°I_0815";"0745";"BEdT 335,003";"1";"Al nom del senhor dreiturier";" ";" "
"";"Scheda";"p_°I_0816";"0746";"BEdT 335,021";"1";"Sirve(n)tes ques meg mals e meg bons";" ";" "
"";"Scheda";"p_°I_0817";"0747";"BEdT 335,001";"1";"Ab votz dangel lenguesperta noblesza";" ";" "
"";"Scheda";"p_°I_0818";"0748";"BEdT 335,027";"1";"Jesu Crist nostre salvaire";" ";" "
"";"Scheda";"p_°I_0819";"0749";"BEdT 335,042";"1";"Predicator tenc per meillor";" ";" "
"";"Scheda";"p_°I_0820";"0750";"BEdT 335,II";"1";"Una siutat fo no sai cals";" ";" "
"";"Scheda";"p_°I_0821@";"0751";"BEdT 335,II";"1";"Et aquel camia so sen";" ";" "
"";"Scheda";"p_°I_0822";"0751bis";"BEdT 080.B.A.a";"-";" ";"174 v";" "
"";"Scheda";"p_°I_0823";"0752";"BEdT 080,023";"1";"Lo coms ma mandat et mogut";"174";" "
"";"Scheda";"p_°I_0824";"0753";"BEdT 080,028";"1";"Molt mes descendre car col.";"174";" "
"";"Scheda";"p_°I_0825";"0754";"BEdT 080,008";"1";"Bem platz quar treva ne fis";"175";" "
"";"Scheda";"p_°I_0826";"0755";"BEdT 080,036";"1";"Rassa mes se son p(ri)mier";"175";" "
"";"Scheda";"p_°I_0827";"0756";"BEdT 080,039";"1";"Seigner en coms a blasmar";"175";" "
"";"Scheda";"p_°I_0828";"0757";"BEdT 080,009";"1";"Casutz sui de mal en pena";"175";" "
"";"Scheda";"p_°I_0829";"0758";"BEdT 080,005";"1";"Ar ven la coindeta sasos";"175";" "
"";"Scheda";"p_°I_0830";"0759";"BEdT 080,004";"1";"Era sai eu de pretz qals la plus gran";"176";" "
"";"Scheda";"p_°I_0831";"0760";"BEdT 080,043";"1";"Un sirventes fatz dels malvatz barons";"176";" "
"";"Scheda";"p_°I_0832";"0761";"BEdT 080,030";"1";"Nostre seigner somonis el mezeis";"176";" "
"";"Scheda";"p_°I_0833";"0762";"BEdT 080,022";"1";"Gerr e pantais veg (et) afan";"176";" "
"";"Scheda";"p_°I_0834";"0763";"BEdT 080,008a";"1";"Bem platz lo douz temps de pascor";"176";" "
"";"Scheda";"p_°I_0835";"0764";"BEdT 080,010";"1";"Sel qui camia bon per meillor";"176";" "
"";"Scheda";"p_°I_0836";"0765";"BEdT 080,018";"1";"Gent part nostre reis liouranda";"176";" "
"";"Scheda";"p_°I_0837";"0766";"BEdT 231,001a";"1";"A tornar mer enquer al p(ri)mer us";" ";" "
"";"Scheda";"p_°I_0838";"0767";"BEdT 080,003";"1";"Anc nos poc far maior anta";"177";" "
"";"Scheda";"p_°I_0839";"0768";"BEdT 080,011";"1";"Orz e gestas e ioi damor";"177";" "
"";"Scheda";"p_°I_0840";"0769";"BEdT 080,045";"1";"Voluntiers fera sirventes";"177";" "
"";"Scheda";"p_°I_0841";"0770";"BEdT 080,021";"1";"Ges en no(m) desconort. sieu ai perdut";"177";" "
"";"Scheda";"p_°I_0842";"0771";"BEdT 080.B.K";"-";"§ Al temps quen Richartz era coms de peiteus";"178r";" "
"";"Scheda";"p_°I_0843";"0772";"BEdT 080,029";"1";"No(n) puosc mudar un chanta(r) n(on) esparga";"178";" "
"";"Scheda";"p_°I_0844";"0773";"BEdT 080.B.R";"-";"§ Anc mais p(er) re(n) qen b(er)trans de born dises";"178r";" "
"";"Scheda";"p_°I_0845";"0774";"BEdT 080,031";"1";"Puois als baro(n)s enoia e lur pesa";"178";" "
"";"Scheda";"p_°I_0846";"0775";"BEdT 080.B.P";"-";"§ En lo tems (et) en la sazos";"178v";" "
"";"Scheda";"p_°I_0847";"0776";"BEdT 080,002";"1";"Al dous (et) nou t(er)mini blanc";"179";" "
"";"Scheda";"p_°I_0848";"0777";"BEdT 080.B.Q";"-";"§ Qua(n)t en bertrans ac faich lo s(er)ve(n)tes q(ue) diz";"179r";" "
"";"Scheda";"p_°I_0849";"0778";"BEdT 080,035";"1";"Can vei pels vergiers despleiar";"179";" "
"";"Scheda";"p_°I_0850";"0779";"BEdT 080.B.O";"-";"§ Ben avez entendutz los mals qen B(er)tra(n)s";"179v";" "
"";"Scheda";"p_°I_0851";"0780";"BEdT 080,033";"1";"Puois ventadorns e comborns";"180";" "
"";"Scheda";"p_°I_0852";"0781";"BEdT 080.B.J";"-";"§ Bertrans de born si com vos ai dig";"180r";" "
"";"Scheda";"p_°I_0853";"0782";"BEdT 080,032";"1";"Puois lo gens terminis floritz";"180";" "
"";"Scheda";"p_°I_0854";"0783";"BEdT 080.B.L";"-";"§ Lo reis enric dengleterra";"180v";" "
"";"Scheda";"p_°I_0855";"0784";"BEdT 080,044";"1";"Un sirventes que motz no faill.";"181";" "
"";"Scheda";"p_°I_0856";"0785";"BEdT 080.B.G";"-";"§ Bertrans de born si cu(m) vos ai dig";"181r";" "
"";"Scheda";"p_°I_0857";"0786";"BEdT 080,013";"1";"Un sirventes [...] loignor ganda";"181";" "
"";"Scheda";"p_°I_0858";"0787";"BEdT 080.B.M";"-";"§ En la sazon qel reis ioves ac faita";"I 181v";" "
"";"Scheda";"p_°I_0859";"0788";"BEdT 080,019";"1";"Ges de disnar [...]";"181";" "
"";"Scheda";"p_°I_0860";"0789";"BEdT 080.B.F";"-";"§ Bertrans de born si era anatz vezer";"181 v";" "
"";"Scheda";"p_°I_0861";"0790";"BEdT 080,012";"1";"Domna pois de mi nous cal.";"182";" "
"";"Scheda";"p_°I_0862";"0790 bis";"BEdT 080.B.C";"-";" ";"182 r";" "
"";"Scheda";"p_°I_0863";"0791";"BEdT 080.B.D";"-";"§ Bertrans de born si era drutz de madona";"182v";" "
"";"Scheda";"p_°I_0864";"0792";"BEdT 080,038";"1";"Sabrils e foillas e flors";"182";" "
"";"Scheda";"p_°I_0865";"0793";"BEdT 080.B.E";"-";"§ Bertra(n)s de born si fo acomiadatz";"182v";" "
"";"Scheda";"p_°I_0866";"0794";"BEdT 080,037";"1";"Rassa tant creis e monta e poia";"183";" "
"";"Scheda";"p_°I_0867";"0795";"BEdT 080.B.B";"-";"§ Bertra(n)s de born sis apellava rassa";"183r";" "
"";"Scheda";"p_°I_0868";"0796";"BEdT 080,026";"1";"Mon chan fenis ab dol (et) ab maltraire";"183";" "
"";"Scheda";"p_°I_0869";"0797";"BEdT 080.B.N";"-";"Lo plai(n)z qen b(er)trans de born fetz del rei";"183v";" "
"";"Scheda";"p_°I_0870";"0798";"BEdT 080,020";"1";"Ges de far sirventes nom tartz";"183";" "
"";"Scheda";"p_°I_0871";"0799";"BEdT 080.B.H";"-";"§ Si com vos avetz mai(n)tas vetz auzitz";"184r";" "
"";"Scheda";"p_°I_0872";"0800";"BEdT 080,034";"1";"Qua(n)t la novella flors par el vergan";"184";" "
"";"Scheda";"p_°I_0873";"0801";"BEdT 080.B.T";"-";"§ Qua(n)t lo reis richartz se(n) fo(n) passatz";"184v";" "
"";"Scheda";"p_°I_0874";"0802";"BEdT 081,001";"1";"Quant vei lo temps renovelar";"184";" "
"";"Scheda";"p_°I_0875";"0803";"BEdT 081.B.A";"-";"§ Qua(n)t lo reis richartz fo mortz el remas";"185 r";" "
"";"Scheda";"p_°I_0876";"0804";"BEdT 420,001";"1";"Dalfin ieus voill demandar";" ";" "
"";"Scheda";"p_°I_0877";"0805";"BEdT 119,008";"1";"Reis puois de mi chantatz";" ";" "
"";"Scheda";"p_°I_0878";"0806";"BEdT 119.B.E";"-";"Quan la patz del rei de fransa (?)";"185v";" "
"";"Scheda";"p_°I_0879";"0806bis";"BEdT 119.B.A";" ";" ";" ";" "
"";"Scheda";"p_°I_0880";"0807";"BEdT 119,009";"1";"Vergoigna aura breumen";" ";" "
"";"Scheda";"p_°I_0881";"0808";"BEdT 087,002";"1";"De sirve(n)tes aurai gran ren perdut";" ";" "
"";"Scheda";"p_°I_0882";"0808bis";"BEdT 397.B.A";"-";" ";"186 v";" "
"";"Scheda";"p_°I_0883";"0809";"BEdT 397,001";"1";"Turcs malecs a vos mi [...]";" ";" "
"";"Scheda";"p_°I_0884";"0810";"BEdT 447,001";"1";"En raimons beus tenc a grat";" ";" "
"";"Scheda";"p_°I_0885";"0811";"BEdT 029,015";"1";"Puois raimons e trucs malecs";" ";" "
"";"Scheda";"p_°I_0886";"0812";"BEdT 392,022";"1";"Leu sonetz si cu(m) suoill.";" ";" "
"";"Scheda";"p_°I_0887";"0813";"BEdT 392,011";"1";"Del rei daragon co(n)ssir";" ";" "
"";"Scheda";"p_°I_0888";"0814";"BEdT 217,005";"1";"No(m) laissarai per paor";" ";" "
"";"Scheda";"p_°I_0889";"0815";"BEdT 010,008";"1";"Anc mais de ioi ni de chan";" ";" "
"";"Scheda";"p_°I_0890";"0816";"BEdT 242,027";"1";"Cardaillac per un sirventes";" ";" "
"";"Scheda";"p_°I_0891";"0817";"BEdT 217,004";"1";"Gacs, pecs [...] ioglar e fers";" ";" "
"";"Scheda";"p_°I_0892";"0818";"BEdT 437,029";"1";"Qui beis me(m)bra del setgle ques passatz";" ";" "
"";"Scheda";"p_°I_0893";"0819";"BEdT 437,020";"1";"Lo reprovers vai averan son par";" ";" "
"";"Scheda";"p_°I_0894";"0820";"BEdT 437,024";"1";"Plai(n)gner voill en bla(n)catz en aq(ue)st leugie(r)";" ";" "
"";"Scheda";"p_°I_0895";"0821";"BEdT 076,012";"1";"Mout mes greu den sordel.";"189";" "
"";"Scheda";"p_°I_0896";"0822";"BEdT 010,032";"1";"Li fol eill put eill fillol.";" ";" "
"";"Scheda";"p_°I_0897";"0822bis";"BEdT 014.B.A";"-";" ";"189 v";" "
"";"Scheda";"p_°I_0898";"0823";"BEdT 088,001";"1";"Era qan plou et iverna";" ";" "
"";"Scheda";"p_°I_0899";"0823bis";"BEdT 156.B.A";"-";" ";"189 v";" "
"";"Scheda";"p_°I_0900";"0824";"BEdT 156,006";"1";"Far voill un nou sirventes";"189 v";" "
"";"Scheda";"p_°I_0901@";"0824bis@";"BEdT 205.B.A";"-";" ";"190 r";" "
"";"Scheda";"p_°I_0902";"0825";"BEdT 205,007";"1";"Totz temps serai sirvenz p(er) des(er)vir";" ";" "
"";"Scheda";"p_°I_0903";"0826";"BEdT 173,001a";"1";"Era qan livernz nos laissa";" ";" "
"";"Scheda";"p_°I_0904";"0826bis";"BEdT 326.B.A";"-";" ";"190 v";" "
"";"Scheda";"p_°I_0905";"0827";"BEdT 326,001";"1";"Tot francame(n) do(m)na veig dena(n) vos";" ";" "
"";"Scheda";"p_°I_0906";"0827bis";"BEdT 332.B.A";"-";" ";"190 v";" "
"";"Scheda";"p_°I_0907";"0828";"BEdT 332,002";"1";"Sirventes e chansos lais";" ";" "
"";"Scheda";"p_°I_0908";"0828bis";"BEdT 442.B.A";"-";" ";"191 r";" "
"";"Scheda";"p_°I_0909";"0829";"BEdT 442,002";"1";"Si col flacs molins torneia";"191";" "
"";"Scheda";"p_°I_0910";"0830";"BEdT 394,001";"1";"Sirvenz sui avutz et arlotz";" ";" "
"";"Scheda";"p_°I_0911";"0831";"BEdT 443,002a";"1";"Comunal veill flac plaides";" ";" "
"";"Scheda";"p_°I_0912";"0832";"BEdT 443,002";"1";"Comunal en rima clausa";" ";" "
"";"Scheda";"p_°I_0913";"0833";"BEdT 443,004";"1";"Mos comunals fai ben parer";" ";" "
"";"Scheda";"p_°I_0914";"0833bis";"BEdT 162.B.A";"-";" ";"191 v";" "
"";"Scheda";"p_°I_0915";"0834";"BEdT 162,008";"1";"Comunal veill ma tor";"192";" "
"";"Scheda";"p_°I_0916";"0834bis";"BEdT 210.B.A";"-";" ";"192 r";" "
"";"Scheda";"p_°I_0917";"0835";"BEdT 210,019";"1";"Trop ai estat sotz cora de mouton";"192";" "
"";"Scheda";"p_°I_0918";"0836";"BEdT 210,002";"1";"Ara mens q(ue) la neu el frei.";" ";" "
"";"Scheda";"p_°I_0919";"0837";"BEdT 210,020";"1";"Un sirventes ai en cor a bastir";" ";" "
"";"Scheda";"p_°I_0920";"0838";"BEdT 210,006";"1";"Bernart diz de baisseill.";" ";" "
"";"Scheda";"p_°I_0921";"0839";"BEdT 210,017";"1";"Reis sans nuls temps fos francs";" ";" "
"";"Scheda";"p_°I_0922";"0840";"BEdT 210,018";"1";"Talans mes pres den marques";" ";" "
"";"Scheda";"p_°I_0923";"0841";"BEdT 210,001";"1";"Amics marques enquera no(n) a gaire";" ";" "
"";"Scheda";"p_°I_0924";"0842";"BEdT 210,008";"1";"Chansoneta leu e plana";" ";" "
"";"Scheda";"p_°I_0925";"0843";"BEdT 210,005";"1";"Ben ai auzit per cals rasos";" ";" "
"";"Scheda";"p_°I_0926";"0844";"BEdT 210,012";"1";"Juglars not desconort";" ";" "
"";"Scheda";"p_°I_0927";"0845";"BEdT 210,007";"1";"Chanson ai comensada";" ";" "
"";"Scheda";"p_°I_0928";"0846";"BEdT 210,021";"1";"Un sirventes nueu voill far en rime";" ";" "
"";"Scheda";"p_°I_0929";"0847";"BEdT 210,011";"1";"Eu no cuidava chantar";" ";" "
"";"Scheda";"p_°I_0930";"0848";"BEdT 210,016";"1";"Quant vei lo tems camiar e refredir";" ";" "
"";"Scheda";"p_°I_0931";"0849";"BEdT 245,001";"1";"Ges si tot mai ma volu(n)tat felona";" ";" "
"";"Scheda";"p_°I_0932";"0850";"BEdT 245,002";"1";"Si per malvat segnoril";" ";" "
"";"Scheda";"p_°I_0933";"0851";"BEdT 167,003";"1";"Ab nou cor et ab novel son";" ";" "
"";"Scheda";"p_°I_0934";"0851bis";"BEdT 249.B.A";"-";" ";"195 r";" "
"";"Scheda";"p_°I_0935";"0852";"BEdT 249,003";"1";"Esparveirs et austors";"195";" "
"";"Scheda";"p_°I_0936";"0853";"BEdT 305,010";"1";"Fort mi noia si lauses dire";" ";" "
"";"Scheda";"p_°I_0937";"0854";"BEdT 334,001";"1";"Un sirventes faire";" ";" "
"";"Scheda";"p_°I_0938";"0855";"BEdT 323,011";"1";"Canatarei daquetz trobadors";" ";" "
"";"Scheda";"p_°I_0939";"0856";"BEdT 418,001";"1";"En aquest son queu trop leugier e pla";" ";" "
"";"Scheda";"p_°I_0940";"0857";"BEdT 329,001";"1";"Bel mes cant aug lo resso";" ";" "
"";"Scheda";"p_°I_0941";"0858";"BEdT 058,004";"1";"Foilla ni flors ni chantz";" ";" "
"";"Scheda";"p_°I_0942";"0859";"BEdT 007,001";"1";"Entre dos reis vei mogut et enpres";" ";" "
"";"Scheda";"p_°I_0943";"0860";"BEdT 332,001";"1";"Pos ladreg temps dabrir";" ";" "
"";"Scheda";"p_°I_0944";"0861";"BEdT 205,005";"1";"Ses alegratge";" ";" "
"";"Scheda";"p_°I_0945";"0862";"BEdT 294,001";"1";"Mentrera obri eis husel.";" ";" "
"";"Scheda";"p_°I_0946";"0863";"BEdT 294,002";"1";"Una ren os dirai en serra";" ";" "
"";"Scheda";"p_°I_0947";"0864";"BEdT 374,002";"1";"Sirventes no(n) es leials";" ";" "
"";"Scheda";"p_°I_0948";"0865";"BEdT 457,038";"1";"Tant es de paubra acoindansa";" ";" "
"";"Scheda";"p_°I_0949";"0866";"BEdT 167,022";"1";"Fort chausa q(ue) tot lo maior dan";" ";" "
"";"Scheda";"p_°I_0950";"0867";"BEdT 375,007";"1";"De totz chaitius son eu aicel q(ue) plus";" ";" "
"";"Scheda";"p_°I_0951";"0868";"BEdT 010,010";"1";"Era par ben q(ue) valors sis desfai.";" ";" "
"";"Scheda";"p_°I_0952";"0869";"BEdT 010,022";"1";"De tot en tot es er de mi partitz";" ";" "
"";"Scheda";"p_°I_0953";"0870";"BEdT 010,030";"1";"Ja no cuidei qem pogues oblidar";" ";" "
"";"Scheda";"p_°I_0954";"0871";"BEdT 330,001a";"1";"Ab marime(n)z angoissos et ab plor";" ";" "
"";"Scheda";"p_°I_0955";"0872";"BEdT 437,029";"1";"Qui bes menbra del segle ques passatz";" ";" "
"";"Scheda";"p_°I_0956";"0873";"BEdT 010,026";"1";"En aquel temps qel rei mori nanfos";" ";" "
"";"Scheda";"p_°I_0957";"0874";"BEdT 461,234";"1";"Totas honors e tug faig benestan";" ";" "
"";"Scheda";"p_°G_0001";"0001";"BEdT 155,016";"Folchet d(e) Marseia.";"Per deu amors ben sabez ueram(en)";"001 rA";"001 vA"
"";"Scheda";"p_°G_0002";"0002";"BEdT 155,001";"[idem]";"Amors merce n(o) muora ta(n) soue(n)";"001 vB";"002 rA"
"";"Scheda";"p_°G_0003";"0003";"BEdT 155,018";"idem";"Sal cor plagues ben foroi mais sazos";"002 rB";"002 vA"
"";"Scheda";"p_°G_0004";"0004";"BEdT 155,022";"-";"Tan mabellis lamoros pessamenz";"002 vB";"003 rA"
"";"Scheda";"p_°G_0005";"0005";"BEdT 155,021";"ide(m)";"Si tot me sui atrat ap(er)cenbuz";"003 rB";"003 vA"
"";"Scheda";"p_°G_0006";"0006";"BEdT 155,014";"ide(m).";"Molt ifeç granç pecat amors";"003 vB";"004 rB"
"";"Scheda";"p_°G_0007";"0007";"BEdT 155,003";"ide(m).";"Aa qa(n)t gen uenz (et)aqant pauc dafa(n)";"004 vA";"004 vB"
"";"Scheda";"p_°G_0008";"0008";"BEdT 155,005";"-";"Ben an mort mi elor mei oil galia / dor";"004 vB";"005 rB"
"";"Scheda";"p_°G_0009";"0009";"BEdT 155,008";"ide(m).";"In cantan mauen amembrar<.>";"005 rB";"005 vB"
"";"Scheda";"p_°G_0010";"0010";"BEdT 155,023";"ide(m).";"Tant mou d(e) cortesa raçon";"005 vB";"006 vA"
"";"Scheda";"p_°G_0011";"0011";"BEdT 155,011";"ide(m).";"Ia nos cuich hom qeu ga(n)ge masca(n)/cos";"006 vA";"007 rA"
"";"Scheda";"p_°G_0012";"0012";"BEdT 155,027";"ide(m).";"Uns uolers oltra cuidaz";"007 rA";"007 vA"
"";"Scheda";"p_°G_0013";"0013";"BEdT 155,006";"ide(m).";"Chantan uolg(ra) mon fin cor d(e)scobrir";"007 vA";"008 vA"
"";"Scheda";"p_°G_0014";"0014";"BEdT 155,010";"ide(m).";"Greu feira nuls hom fallença";"008 vA";"009 rA"
"";"Scheda";"p_°G_0015";"0015";"BEdT 070,031";"Bernard/de uentador.";"No nes meraueia seu chan<.>";"009 rA";"009 vA"
"";"Scheda";"p_°G_0016";"0016";"BEdT 070,001";"idem.";"Ab ioi mou lo uers el començ";"009 vA";"010 rA"
"";"Scheda";"p_°G_0017";"0017";"BEdT 070,043";"ide(m).";"Qan uei la laudeta mouer";"010 rA";"010 vA"
"";"Scheda";"p_°G_0018";"0018";"BEdT 070,041";"-";"Cant par la flor iustal uerd foil<.>";"010 vA";"011 rB"
"";"Scheda";"p_°G_0019";"0019";"BEdT 070,010";"-";"Bel mes qeu çant enaqel mes";"011 rB";"011 vB"
"";"Scheda";"p_°G_0020";"0020";"BEdT 070,028";"idem.";"Lo genç te(n)ps del pascor";"011 vB";"012 vA"
"";"Scheda";"p_°G_0021";"0021";"BEdT 070,015";"ide(m).";"Chantars n(o) pot gaires ualer";"012 vA";"013 rA"
"";"Scheda";"p_°G_0022";"0022";"BEdT 070,037";"ide(m).";"Qan la freida au(r)a uenta";"013 rA";"013 vA"
"";"Scheda";"p_°G_0023";"0023";"BEdT 070,006";"Idem.";"Aram co(n)seillaz seignor";"013 vA";"014 rA"
"";"Scheda";"p_°G_0024";"0024";"BEdT 070,012";"ide(m).";"Ben mau p(er)out lai enues ueta/dorn<.>";"014 rA";"014 vA"
"";"Scheda";"p_°G_0025";"0025";"BEdT 070,023";"idem.";"Ladolza uoiz ai ançida";"014 vA";"014 vB"
"";"Scheda";"p_°G_0026";"0026";"BEdT 070,042";"ide(m).";"Can uei laflors lerba fresch ela/fuola";"015 rA";"015 vA"
"";"Scheda";"p_°G_0027";"0027";"BEdT 331,001";"idem.";"En abril qan uei uerdeiar";"015 vA";"015 vB"
"";"Scheda";"p_°G_0028";"0028";"BEdT 070,021";"idem.";"Ges decha(n)tar n(o) pren talanz";"016 rA";"016 vA"
"";"Scheda";"p_°G_0029";"0029";"BEdT 070,030";"ide(m).";"Lotems uai euen euire";"016 vA";"017 rA"
"";"Scheda";"p_°G_0030";"0030";"BEdT 070,007";"ide(m) b'.";"Era no(n) uei luzir solleill";"017 rA";"017 vA"
"";"Scheda";"p_°G_0031";"0031";"BEdT 070,019";"Idem.";"Estat ai co(n) ho(m) esp(er)duz";"017 vA";"018 rA"
"";"Scheda";"p_°G_0032";"0032";"BEdT 070,033";"Idem.";"Per dolz chanz qel rosignols fai";"018 rA";"018 vA"
"";"Scheda";"p_°G_0033";"0033";"BEdT 070,035";"Idem.";"Per meilz lomal cobri(r) elto(n)/sire";"018 vA";"019 rA"
"";"Scheda";"p_°G_0034";"0034";"BEdT 070,017";"Idem.";"In co(n)sirer (et) enes mai";"019 rA";"019 vA"
"";"Scheda";"p_°G_0035";"0035";"BEdT 167,049";"idem.";"Can lafuola sobre larbre ses/pan";"019 vA";"020 rA"
"";"Scheda";"p_°G_0036";"0036";"BEdT 070,016";"ide(m).";"Conort era sai ben";"020 rA";"020 vA"
"";"Scheda";"p_°G_0037";"0037";"BEdT 070,036";"ide(m).";"Pos p(re)gaz mi seignor";"020 vA";"021 rA"
"";"Scheda";"p_°G_0038";"0038";"BEdT 070,045";"ide(m).";"Tuit cil qi p(re)ion qeu chan";"021 rA";"021 vA"
"";"Scheda";"p_°G_0039";"0039";"BEdT 070,025";"idem.";"Lan qan uei lafuoilla";"021 vA";"022 rB"
"";"Scheda";"p_°G_0040";"0040";"BEdT 070,026";"idem.";"Lan qan uei p(er)mei lalanda";"022 rB";"022 vB"
"";"Scheda";"p_°G_0041";"0041";"BEdT 167,056";"Gonselm/faidiz.";"Son pogues partir son uoler";"022 vB";"023 rB"
"";"Scheda";"p_°G_0042";"0042";"BEdT 167,032";"ide(m).";"Logen cors ho(n)raz";"023 rB";"024 rB"
"";"Scheda";"p_°G_0043";"0043";"BEdT 167,060";"ide(m).";"Toz me cugei d(e)cha(n)zos far so/frir";"024 rB";"025 rA"
"";"Scheda";"p_°G_0044";"0044";"BEdT 167,062";"idem.";"Tuit cil qi amon ualor";"025 rA";"025 vA"
"";"Scheda";"p_°G_0045";"0045";"BEdT 167,058";"idem.";"Tan sui ferms efins ues amor";"025 vA";"026 rA"
"";"Scheda";"p_°G_0046";"0046";"BEdT 167,034";"ide(m).";"Loro seignolet saluage";"026 rA";"026 vA"
"";"Scheda";"p_°G_0047";"0047";"BEdT 167,027";"ide(m)";"Ben fora co(n)tra lafan";"026 vA";"027 rA"
"";"Scheda";"p_°G_0048";"0048";"BEdT 167,052";"idem.";"Sianc nulz hom p(er)auer fin co/rage";"027 rA";"027 vB"
"";"Scheda";"p_°G_0049";"0049";"BEdT 167,017";"ide(m)";"Choras qe(m) des benananza";"027 vB";"028 rB"
"";"Scheda";"p_°G_0050";"0050";"BEdT 167,030";"ide(m)";"Jamais nulz tems n(o) pot ren / far amors";"028 rB";"028 vB"
"";"Scheda";"p_°G_0051";"0051";"BEdT 167,015";"ide(m)";"Chant edeport ioi dompnei eso/laz";"028 vB";"029 vA"
